Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
TAVERN CUB CLUB LLC,4/13/2012,United States,"Plantation Key, FL",Tavernaero Park Airport,025019N,0803135W,VMC,0,0,0,2,Plantation Key, FL,,,,,,
JERSEY DEVIL DUSTERS LLC,4/13/2012,United States,"Cross Keys, NJ",Cross Keys Airport,401757N,0743114W,VMC,0,0,0,1,Cross Keys, NJ,,,,,,
WIMPEY ROBERT J,4/14/2012,United States,"Cedartown, GA",Polk County Airport,003417N,0085847W,VMC,0,0,0,2,Cedartown, GA,,,,,,
HELIKAT LLC,4/14/2012,United States,"Farmington, CT",South Meadows Heliport,414312N,0725120W,VMC,0,0,2,0,Farmington, CT,,,,,,
FILBEY RUSSELL C,4/15/2012,United States,"Lincoln Park, NJ",Lincoln Park Airport,405651N,0741852W,VMC,0,0,0,2,Lincoln Park, NJ,,,,,,
METZLER KEVIN W,4/15/2012,United States,"Rosamond, CA",Rosamond,034520N,0118120W,VMC,0,2,0,0,Rosamond, CA,,,,,,
MARTIN JOSEPH K,4/15/2012,United States,"Salem, WV",Private Airstrip,391659N,0803654W,VMC,0,0,1,0,Salem, WV,,,,,,
WOODWORTH DEXTER B,4/15/2012,United States,"McCall, ID",McCall Municipal Airport,445321N,0011667W,VMC,0,0,0,3,McCall, ID,,,,,,
Morne Juan Van Staden,4/16/2012,United States,"Winslow, AZ",Winslow-Lindbergh Regional Arp,035118N,1104322W,VMC,0,0,0,2,Winslow, AZ,,,,,,
SANFORD WILLIAM W,4/17/2012,United States,"Abingdon, VA",Virginia Highlands Airport,364113N,0082159W,VMC,0,0,0,2,Abingdon, VA,,,,,,
MACMILLAN WILLIAM B,4/17/2012,United States,"Oro Valley, AZ",La Cholla Airpark,322649N,0111010W,VMC,0,1,0,0,Oro Valley, AZ,,,,,,
Pilot,4/17/2012,United States,"Grinnell, IA",Grinnell Regional Airport,414236N,0924410W,VMC,0,0,0,2,Grinnell, IA,,,,,,
HEISER ROBERT C JR,4/17/2012,United States,"San Angelo, TX",Ducote Air Park,312130N,1003646W,VMC,0,1,0,0,San Angelo, TX,,,,,,
Eastern Kentucky University,4/19/2012,United States,"Richmond, KY",Madison Airport,373825N,0842054W,VMC,0,0,0,2,Richmond, KY,,,,,,
MCMILLEN MICHAEL P,4/19/2012,United States,"Gatlinburg, TN",Gatlinburg Pigeon Forge,355127N,0833143W,VMC,0,0,0,1,Gatlinburg, TN,,,,,,
Private Owner,4/20/2012,Brazil,"Jundiai, Brazil",Rolim Adolfo Amaro State Arpt,231117S,0465628W,VMC,1,0,0,0,Jundiai, Brazil,,,,,,
Philippe F Camus,4/22/2012,United States,"Englewood, CO",Centenial Airport,393412N,1045057W,VMC,0,1,0,0,Englewood, CO,,,,,,
CRAVENS G RALPH,4/22/2012,United States,"Delle, UT",Delle,404630N,1124740W,VMC,0,1,0,0,Delle, UT,,,,,,
Thomas E. Anderson,4/22/2012,United States,"New Braunfels, TX",New Braunfels Municipal,294216N,0098232W,VMC,0,0,0,2,New Braunfels, TX,,,,,,
Pilot,4/24/2012,United States,"Sioux Falls, SD",Joe Foss Field Airport,433455N,0964431W,VMC,0,0,0,1,Sioux Falls, SD,,,,,,
SAN JOAQUIN HELICOPTERS INC,4/25/2012,United States,"Arvin, CA",Delano,035226N,1184835W,VMC,0,0,0,1,Arvin, CA,,,,,,
SPORTSTAR 505EV LLC,4/25/2012,United States,"Lancaster, PA",Lancaster Airport,040720N,0761739W,VMC,0,0,0,1,Lancaster, PA,,,,,,
CHESAPEAKE BAY HELICOPTERS INC,4/26/2012,United States,"Amarillo, TX",Rick Husband Amarillo Intl,035135N,1014213W,VMC,0,2,0,0,Amarillo, TX,,,,,,
GORDON ENTERPRISES INC,4/26/2012,United States,"Albuquerque, NM",Double Eagle II,035527N,0106543W,VMC,0,0,0,1,Albuquerque, NM,,,,,,
CALL THE BALL AVIATION LLC,4/26/2012,United States,"Glendale, AZ",Glendale Municipal Airport,333136N,1121742W,VMC,0,0,0,2,Glendale, AZ,,,,,,
PAPE GROUP INC,4/27/2012,United States,"Eugene, OR",Mahlon Sweet Field Airport,044717N,1231226W,VMC,0,0,0,3,Eugene, OR,,,,,,
WIMMER CURT,4/27/2012,United States,"Cloverdale, CA",Cloverdale Municipal Airport,384620N,1225919W,VMC,0,0,0,1,Cloverdale, CA,,,,,,
BILL AIR LLC,4/27/2012,United States,"Anderson, SC",Anderson Regional Airport,342938N,0824228W,VMC,1,0,0,0,Anderson, SC,,,,,,
David Chelini,4/28/2012,United States,"Coalinga, CA",Harris Ranch Airport,362051N,1201837W,VMC,0,0,0,4,Coalinga, CA,,,,,,
Airline Career Academy,4/28/2012,United States,"Lake Wales, FL",Lake Wales Municipal Airport,275338N,0813713W,VMC,0,0,0,1,Lake Wales, FL,,,,,,
JACOBELLI ROBERT W,4/29/2012,United States,"Burlington, NC",Burlington Almance Regional,036233N,0792818W,VMC,0,0,0,2,Burlington, NC,,,,,,
FAVERO ROBERT B,4/29/2012,United States,"Sacramento, CA",Mc Clellan Airfield,038402N,0121241W,VMC,0,0,0,2,Sacramento, CA,,,,,,
EAGLE MED LLC,4/29/2012,United States,"Hugo, OK",Stan Stamper Municipal Airport,003421N,0953219W,VMC,0,0,0,2,Hugo, OK,,,,,,
Mark Daniels,4/30/2012,United States,"Ghent, NY",Kline Kill Airport,042211N,0733813W,VMC,0,0,0,2,Ghent, NY,,,,,,
FOREVER AND ALWAYS LLC,5/1/2012,United States,"Durango, CO",Animas Air Park,371211N,0107529W,VMC,0,0,0,2,Durango, CO,,,,,,
FLY KALAMAZOO LLC,5/1/2012,United States,"Three Rivers, MI",Three Rivers Municipal Airport,415735N,0853535W,VMC,0,0,0,2,Three Rivers, MI,,,,,,
Alpha Tango Flying Services Inc.,5/1/2012,United States,"San Antonio, TX",Stinson Municipal,292013N,0982816W,VMC,0,0,0,1,San Antonio, TX,,,,,,
Bernie W. Vasquez,5/2/2012,United States,"Columbus, GA",Columbus Metropolitan Airport,323059N,0845620W,VMC,0,0,0,1,Columbus, GA,,,,,,
RYAN AIR INC,5/3/2012,United States,"Chefornak, AK",Chefornak,060834N,0164175W,VMC,0,0,0,1,Chefornak, AK,,,,,,
STEGMAIER ANN C,5/3/2012,United States,"Redwood Falls, MN",Redwood Falls Municipal,443229N,0095433W,VMC,0,0,0,1,Redwood Falls, MN,,,,,,
CAMBRIDGE VALLEY FLYING CLUB INC,5/5/2012,United States,"Cambridge, NY",Chapin Field,004339N,0732147W,VMC,0,1,0,2,Cambridge, NY,,,,,,
Richard J Adams,5/5/2012,United States,"Heber-Overgaard, AZ",Overgaard Airport,034240N,1103145W,VMC,0,0,0,3,Heber-Overgaard, AZ,,,,,,
HIGGINS AVIATION GROUP LLC,5/5/2012,United States,"Houston, TX",West Houston,029493N,0954013W,VMC,0,0,0,2,Houston, TX,,,,,,
Rocky Raynor,5/5/2012,United States,"Mariposa, CA",Mariposa-Yosemite Airport,373023N,0120213W,VMC,0,0,0,3,Mariposa, CA,,,,,,
FLYIN OUT LLC,5/5/2012,United States,"Williston, FL",Williston Municipal,292112N,0822811W,VMC,0,0,0,4,Williston, FL,,,,,,
"LALS, Inc",5/5/2012,United States,"Umatilla, FL",Umatilla Municipal,285527N,0081397W,VMC,0,0,0,2,Umatilla, FL,,,,,,
Leading Edge Aviation Northeast,5/6/2012,United States,"Newport, VT",Newport State Airport,445259N,0721328W,VMC,0,0,0,2,Newport, VT,,,,,,
ISLA GRANDE FLYING SCH00L AND SERVICE CORPORATION,5/7/2012,United States,"Culebra, PR",Benjamin Rivera Noriega,181847N,0651815W,VMC,0,1,0,0,Culebra, PR,,,,,,
"Spokane Airways, Inc.",5/7/2012,United States,"Spokane, WA",Spokane International Arpt,047378N,0117327W,VMC,0,0,0,1,Spokane, WA,,,,,,
INDEPENDENT DUSTING SERVICE INC,5/7/2012,United States,"El Campo, TX",Private airstrip,291615N,0961935W,VMC,0,0,0,1,El Campo, TX,,,,,,
INTER-STATE AVIATION INC,5/8/2012,United States,"Grangeville, ID",Idaho County Airport,455633N,0116724W,VMC,0,0,0,1,Grangeville, ID,,,,,,
WOODLEY CRAIG S,5/8/2012,United States,"Sterling, IL",Whiteside County Airport,414434N,0894034W,VMC,0,0,0,1,Sterling, IL,,,,,,
Carl Marquess,5/8/2012,United States,"Paducah, KY",Barkley Regional Airport,037322N,0884613W,VMC,0,0,0,1,Paducah, KY,,,,,,
Donald P. Kilday,5/9/2012,United States,"Genoa, NE",Genoa Municipal Airport,412415N,0974231W,VMC,0,1,0,0,Genoa, NE,,,,,,
ON FILE,5/9/2012,United States,"Moorhead, MN",Moorhead Municipal Airport,465021N,0963950W,VMC,0,1,0,0,Moorhead, MN,,,,,,
CORPORATE SERVICES LLC,5/9/2012,United States,"Midland, TX",Midland,315620N,0102124W,VMC,0,0,0,2,Midland, TX,,,,,,
Patrick J. Sheridan,5/10/2012,United States,"Sterling, PA",Spring Hill Airport,412024N,0752516W,VMC,2,0,1,0,Sterling, PA,,,,,,
Skymates Inc,5/10/2012,United States,"Cleburne, TX",Cleburne Regional,322114N,0097262W,VMC,0,0,0,2,Cleburne, TX,,,,,,
FRONTIER AIRLINES INC,5/10/2012,United States,"Fort Lauderdale, FL",Fort Lauderdale,042482N,0735510W,VMC,0,0,1,142,Fort Lauderdale, FL,,,,,,
ATP USA,5/11/2012,United States,"Immokalee, FL",Immokalee Regional Airport,026261N,0081245W,VMC,0,0,0,1,Immokalee, FL,,,,,,
SIEGEL ROBERT M,5/11/2012,United States,"Las Vegas, NM",None,035399N,0105819W,VMC,1,0,0,0,Las Vegas, NM,,,,,,
REED PETER B,5/11/2012,United States,"Weirsdale, FL",Love Field,285743N,0815329W,VMC,0,0,0,2,Weirsdale, FL,,,,,,
SCHICK THOMAS PAUL,5/12/2012,United States,"Kingstree, SC",Williamsburg Regional Airport,033431N,0795115W,VMC,0,1,0,0,Kingstree, SC,,,,,,
L & M TRUCKING LLC,5/12/2012,United States,"Erwin, NC",Harnett Regional Jetport,352248N,0784356W,VMC,0,1,0,5,Erwin, NC,,,,,,
Riddell Enterprises,5/12/2012,United States,"Savannah, GA",Savannah/Hilton Head Internati,032723N,0081204W,VMC,0,0,0,1,Savannah, GA,,,,,,
STARFIRE AVIATION LLC,5/13/2012,United States,"West Ossipee, NH",Windsock Village,434950N,0711113W,VMC,0,0,1,0,West Ossipee, NH,,,,,,
OGDEN WALTER L,5/13/2012,United States,"South Canaan, PA",Reed Airport,412959N,0752430W,VMC,0,1,0,1,South Canaan, PA,,,,,,
AIRLINE TRAINING CENTER ARIZONA INC,5/13/2012,United States,"Mobile, AZ",Mobile Airport,033643N,0112169W,VMC,0,0,0,1,Mobile, AZ,,,,,,
Alaska Floats and Ski Inc.,5/14/2012,United States,"Talkeetna, AK",Talkeetna,623136N,0150530W,VMC,0,0,0,2,Talkeetna, AK,,,,,,
Troy A. Waltermath,5/14/2012,United States,"El Dorado, KS",Capt. Jack Thomas/El Dorado,374616N,0096492W,VMC,0,0,0,2,El Dorado, KS,,,,,,
COSTAL AIRSIGN LLC,5/16/2012,United States,"Gulf Shores, AL",Private,304124N,0875130W,VMC,0,0,0,2,Gulf Shores, AL,,,,,,
WHITEHEAD DENNIS C,5/16/2012,United States,"Crystal Falls, MI",Iron County Airport,046032N,0881626W,VMC,0,0,0,2,Crystal Falls, MI,,,,,,
Kurt Imig,5/17/2012,United States,"Cedar Fort, UT",Cedar Valley Airport,402126N,0011214W,VMC,0,0,1,0,Cedar Fort, UT,,,,,,
Mid Island Air Service,5/17/2012,United States,"Shirley, NY",Brookhaven Airport,404917N,0725222W,VMC,0,1,0,0,Shirley, NY,,,,,,
David Panagrossi,5/17/2012,United States,"Springfield, VT",Hartness State Airport,432037N,0072311W,VMC,0,0,0,1,Springfield, VT,,,,,,
Pilot,5/17/2012,United States,"Pipe Creek, TX",Freedom Springs Ranch Airport,294250N,0985136W,VMC,0,0,0,2,Pipe Creek, TX,,,,,,
ACC INTEGRATED SERVICES INC,5/17/2012,United States,"Houston, TX",Geotge Bush International,029597N,0952049W,VMC,0,0,0,2,Houston, TX,,,,,,
ATAC,5/18/2012,United States,"Point Mugu, CA",Naval Air Station Point Mugu,003478N,0011978W,VMC,1,0,0,0,Point Mugu, CA,,,,,,
Mach 1 Aviation,5/18/2012,United States,"Boulder City, NV",Boulder City Municipal Airport,355715N,1145255W,VMC,2,0,0,0,Boulder City, NV,,,,,,
MCCONNELL WILLIAM R,5/19/2012,United States,"Pembroke Pines, FL",North Perry Airport,002604N,0801426W,VMC,0,1,0,1,Pembroke Pines, FL,,,,,,
HIGHSMITH ALFRED C,5/19/2012,United States,"Winterville, NC",South Oak Aerodrome,352858N,0772112W,VMC,0,0,0,2,Winterville, NC,,,,,,
Timberview Helicopters,5/19/2012,United States,"Destin, FL",Destin,030240N,0862927W,VMC,0,0,0,3,Destin, FL,,,,,,
County Line Flying Service Inc,5/19/2012,United States,"Humnoke, AR",Brown Farm Dirt Strip,343022N,0914512W,VMC,0,0,0,1,Humnoke, AR,,,,,,
STEVEN TACHOIR,5/19/2012,United States,"Pittsfield, PA",Brokeenstraw Airport,414935N,0792141W,VMC,0,0,0,1,Pittsfield, PA,,,,,,
K B AIRCRAFT LLC,5/20/2012,United States,"Whittier, AK",Whittier,060450N,0148450W,VMC,0,0,0,4,Whittier, AK,,,,,,
KITZE AVIATION INC,5/20/2012,United States,"Frankenmuth, MI",Wm Tiny Zehnder Field,431850N,0834146W,VMC,0,3,0,1,Frankenmuth, MI,,,,,,
CITADEL AVIATION LLC,5/20/2012,United States,"Crossville, TN",Crossville Memorial Airport,035572N,0008553W,VMC,0,0,0,1,Crossville, TN,,,,,,
Steven Dauenhauer,5/21/2012,United States,"Boyd, TX",Dauenhauer Field (Private),033121N,0973812W,VMC,1,0,3,0,Boyd, TX,,,,,,
EDELMAN FREDDIE L,5/21/2012,United States,"Norwich, NY",LT Warren Eaton Airport,423359N,0753127W,VMC,0,0,0,1,Norwich, NY,,,,,,
US Aviation Group LLC,5/21/2012,United States,"Ardmore, OK",Ardmore Downtown Executive Air,034849N,0097721W,VMC,0,0,0,1,Ardmore, OK,,,,,,
Kenneth F. Carpenter,5/21/2012,United States,"Lincolnton, NC",Pvt Field,352815N,0811510W,VMC,0,0,0,1,Lincolnton, NC,,,,,,
RUST PROPERTIES LLC,5/22/2012,United States,"Talkeetna, AK",Talkeetna,691312N,1464725W,VMC,0,0,0,5,Talkeetna, AK,,,,,,
KING BROADCASTING CO,5/22/2012,United States,"Seattle, WA",Boeing Field,047281N,0122207W,VMC,0,0,0,2,Seattle, WA,,,,,,
Majestic Jet Inc.,5/23/2012,United States,"Hallandale, FL",Ft Lauderdale-Hollywood Intl,255919N,0080752W,VMC,0,0,0,2,Hallandale, FL,,,,,,
F I T AVIATION LLC,5/23/2012,United States,"Melbourne, FL",Melbourne International,002869N,0803842W,VMC,0,0,0,3,Melbourne, FL,,,,,,
Scott Thompson Trustee,5/23/2012,United States,"Clear Lake, SD",Clear Lake Muni,444750N,0963756W,VMC,0,0,1,0,Clear Lake, SD,,,,,,
East River Air Spray,5/23/2012,United States,"Howard, SD",Howard Municipal,044145N,0973216W,VMC,0,0,0,1,Howard, SD,,,,,,
MOONBEAM LEASING,5/24/2012,United States,"Sanford, FL",Orlando-Sanford International,284316N,0811314W,VMC,0,0,0,2,Sanford, FL,,,,,,
WOLF TREE AVIATION LLC,5/24/2012,United States,"Asheville, NC",Asheville Regional Airport,352610N,0823231W,VMC,0,0,0,2,Asheville, NC,,,,,,
Alaska Central Express Inc.,5/24/2012,United States,"McGrath, AK",Nixon Fork Mine,062576N,1553615W,VMC,0,0,0,2,McGrath, AK,,,,,,
ROYAL FLYING SERVICE INC,5/24/2012,United States,"Royal City, WA",Royal Flying Service,465324N,0119362W,VMC,0,0,0,1,Royal City, WA,,,,,,
"Teryjon Aviation, Inc.",5/25/2012,United States,"Delavan, MN",Fairmont Municipal,043465N,0009416W,VMC,0,0,1,0,Delavan, MN,,,,,,
SABRIS CORPORATION,5/25/2012,United States,"Wichita, KS",Colonel James Jabara,374431N,0971310W,VMC,0,1,0,1,Wichita, KS,,,,,,
J & R FLYING SERVICE LLC,5/25/2012,United States,"Alicia, AR",Private Airstrip,036731N,0905528W,VMC,0,0,0,2,Alicia, AR,,,,,,
AERIAL ADVERTISING LLC,5/26/2012,United States,"San Diego, CA",San Diego,324155N,0117946W,VMC,0,0,0,2,San Diego, CA,,,,,,
STENEKER SJARDO L,5/26/2012,United States,"Vashon Island, WA",Vashon Airport,472730N,1222816W,VMC,0,4,0,0,Vashon Island, WA,,,,,,
DIAMOND FLYING LLC,5/26/2012,United States,"St. George, UT",St George Municipal Airport,037112N,0113312W,VMC,4,0,0,0,St. George, UT,,,,,,
Melvin E. Grant,5/26/2012,United States,"Greenfield, IN",Pope Field,394725N,0854410W,VMC,0,2,0,1,Greenfield, IN,,,,,,
HIGH EXPOSURE INC,5/26/2012,United States,"Farmingdale, NJ",Monmouth Executive Airport,040117N,0074717W,VMC,0,0,0,1,Farmingdale, NJ,,,,,,
KINSEY ROY M JR,5/26/2012,United States,"Foley, AL",Foley Municipal Airport,302540N,0087426W,VMC,0,0,0,2,Foley, AL,,,,,,
My Sky LLC,5/26/2012,United States,"Chesterfield, MO",Spirit of St Louis,383944N,0090397W,VMC,0,0,0,1,Chesterfield, MO,,,,,,
Westwind Aviation,5/27/2012,United States,"Page, AZ",Page Municipal,365520N,1112632W,VMC,0,0,0,2,Page, AZ,,,,,,
"HARDING, HARRY NELSON",5/27/2012,United States,"Wilton, CA",Clarksburg,382016N,0121148W,VMC,0,0,0,1,Wilton, CA,,,,,,
Lanier Equipment Leasing LLC,5/27/2012,United States,"Gainesville, GA",Lee Gilmer Memorial,341622N,0834949W,VMC,0,0,0,2,Gainesville, GA,,,,,,
"Green Aircraft Leasing, Inc.",5/27/2012,United States,"Peoria, IL",Mount Hawley Auxiliary Airport,404743N,0893648W,VMC,0,0,0,3,Peoria, IL,,,,,,
Capital City Skydiving,5/27/2012,United States,"Fowlerville, MI",Maple Grove Airport,042533N,0084322W,VMC,0,0,0,5,Fowlerville, MI,,,,,,
Pilot,5/29/2012,United States,"Pryor, OK",Mid-America Industrial Airport,361331N,0951948W,VMC,0,0,0,1,Pryor, OK,,,,,,
Pilot,5/29/2012,United States,"Ionia, MI",Ionia County Airport,425617N,0085338W,VMC,1,0,0,0,Ionia, MI,,,,,,
Westwind Aviation Inc.,5/29/2012,United States,"Peoria, AZ",Pleasant Valley Airport,033482N,1121459W,VMC,0,0,0,2,Peoria, AZ,,,,,,
